t,Re_p1,Im_p1,Re_p2,Im_p2,g_t
7.484375000000000000e+00,1.173189698413156824e-02,6.134781595056176817e-03,-1.930433801871679622e-02,8.368783973092623271e-03,0.000000000000000000e+00
7.500000000000000000e+00,7.401991877373610522e-03,-1.392139143809928512e-03,-1.912261117733698307e-02,9.642510029309875677e-03,0.000000000000000000e+00
7.515625000000000000e+00,6.981381482618295199e-03,-4.145215985972810178e-03,-1.989375343612645800e-02,8.653670670028316275e-03,0.000000000000000000e+00
7.531250000000000000e+00,6.585228578333754412e-03,-2.198835439843013686e-03,-2.389552856983128207e-02,9.993724397883320745e-03,0.000000000000000000e+00
7.546875000000000000e+00,5.721504034782318171e-03,-5.881992574073007830e-03,-2.319957379619706425e-02,1.287340185107374232e-02,0.000000000000000000e+00
7.562500000000000000e+00,2.539291968608498040e-03,-8.346380746303349446e-03,-2.169180072076024729e-02,1.135430231942909964e-02,0.000000000000000000e+00
7.578125000000000000e+00,2.301944045459719534e-03,-9.445123387215197119e-03,-2.437313335702543868e-02,1.220552289904686984e-02,0.000000000000000000e+00
7.593750000000000000e+00,8.045628845758776362e-03,-6.615222145402731117e-03,-2.329496148158731808e-02,1.303514098025337388e-02,0.000000000000000000e+00
7.609375000000000000e+00,1.122563287149244519e-02,-8.898447064997063588e-03,-2.547555299165957243e-02,1.013357795784857601e-02,0.000000000000000000e+00
7.625000000000000000e+00,9.320978842983116200e-03,-6.203165667007734703e-03,-2.756118774036267483e-02,7.998813275612038851e-03,0.000000000000000000e+00
7.640625000000000000e+00,9.768821167003900741e-03,-5.052121770236032636e-03,-2.338150808427606753e-02,8.080276870381378901e-03,0.000000000000000000e+00
7.656250000000000000e+00,1.314663949629514030e-02,-2.839532146839278230e-03,-2.326300714903361058e-02,8.356428656583208756e-03,0.000000000000000000e+00
7.671875000000000000e+00,1.018055530344874962e-02,-2.046648698267287611e-03,-2.442588058313873225e-02,7.748671414199546567e-03,0.000000000000000000e+00
7.687500000000000000e+00,3.437250825834685559e-03,1.395682355783984391e-03,-2.437322678864864076e-02,9.153709543353327066e-03,0.000000000000000000e+00
7.703125000000000000e+00,5.638949858654035766e-03,1.136182297821814857e-03,-2.229364947690887222e-02,8.444982004780103579e-03,0.000000000000000000e+00
7.718750000000000000e+00,1.060855540459344467e-03,-4.954191973271329132e-03,-2.177499813792336050e-02,5.445886405417411924e-03,0.000000000000000000e+00
7.734375000000000000e+00,-3.475470327980426707e-03,-3.666280788872872901e-03,-2.261896876138437540e-02,4.275229435562263522e-03,0.000000000000000000e+00
7.750000000000000000e+00,-6.013634678765242270e-03,8.057735432599292006e-04,-2.589424073922364997e-02,6.241138307587806161e-03,0.000000000000000000e+00
7.765625000000000000e+00,-4.146982457762398745e-03,-4.598640305963137180e-04,-2.259607980813407510e-02,1.014797858873995630e-02,0.000000000000000000e+00
7.781250000000000000e+00,-8.649411552314467677e-03,-2.128616413534284348e-03,-2.097659565421964786e-02,5.108542406350448720e-03,0.000000000000000000e+00
7.796875000000000000e+00,-9.977797519738373921e-03,-1.005738018205870783e-03,-2.249725026827996410e-02,3.888535192468348806e-03,0.000000000000000000e+00
7.812500000000000000e+00,-9.918262049732637017e-03,-5.550008537694796178e-03,-2.073743164833102490e-02,4.460509565931078564e-03,0.000000000000000000e+00
7.828125000000000000e+00,-9.265219594395851868e-03,-7.309922868020293611e-03,-1.702118947360258330e-02,3.047197047155913042e-03,0.000000000000000000e+00
7.843750000000000000e+00,-1.137112935728865071e-02,-8.342050296924499037e-03,-1.756945642486052242e-02,1.697088407657414795e-03,0.000000000000000000e+00
