t_z,z_t_puf1,z_t_puf2
4.4218750000000003e-10,4.642453285189847e-05,2.8378887258370905e-05
4.4375e-10,4.6747645153711505e-05,2.9659340242767458e-05
4.453125e-10,4.629955276915393e-05,3.207530852153622e-05
4.46875e-10,4.7966273300632736e-05,3.4428000333401414e-05
4.4843750000000003e-10,4.875287122603922e-05,3.698537690446093e-05
4.5e-10,5.040491573235067e-05,3.885555342071173e-05
4.515625e-10,5.0314673128603156e-05,4.0454834911018525e-05
4.53125e-10,5.1835141510919154e-05,4.3186809208828895e-05
4.5468750000000004e-10,5.257545685535908e-05,4.5981094314737226e-05
4.5625e-10,5.323395532889391e-05,4.9225475425049715e-05
4.578125e-10,5.3791320289214815e-05,5.18597817134664e-05
4.5937500000000003e-10,5.344319276490085e-05,5.41901421843952e-05
4.609375e-10,5.376111095319343e-05,5.726770578506821e-05
4.625e-10,5.449177021669664e-05,6.207962309197603e-05
4.640625e-10,5.497275942246354e-05,6.449042513902605e-05
4.6562500000000003e-10,5.4648756032034316e-05,6.787287466399582e-05
4.671875e-10,5.512131685759402e-05,7.10482031793029e-05
4.687500000000001e-10,5.510715772889526e-05,7.41089685170392e-05
4.703125e-10,5.497307000819857e-05,7.739837103999672e-05
4.71875e-10,5.565713526211876e-05,7.996387970470571e-05
4.734375e-10,5.5318204205997856e-05,8.184696604969085e-05
4.75e-10,5.5166987522713444e-05,8.436638461091533e-05
4.765625e-10,5.5441201474084384e-05,8.824421120876196e-05
4.78125e-10,5.538392214643498e-05,9.006471903979409e-05
4.796875000000001e-10,5.486893480767637e-05,9.246534667155475e-05
4.8125e-10,5.4388644139795744e-05,9.427916525703956e-05
4.828125e-10,5.364989994546388e-05,9.677605722885833e-05
4.84375e-10,5.342482258004399e-05,9.828896383337526e-05
4.859375e-10,5.388972977393461e-05,0.000100226714706403
4.875e-10,5.3798354973088415e-05,0.00010073444250455425
4.890625e-10,5.353107203138165e-05,0.00010282008145866855
4.90625e-10,5.2860444792754785e-05,0.0001045583559142222
4.921875000000001e-10,5.311048406494413e-05,0.00010618097289029493
4.9375e-10,5.3031708596982835e-05,0.0001074049167189554
4.953125e-10,5.316304710489266e-05,0.00010935419822647328
4.96875e-10,5.4077674847035944e-05,0.00011039653673157186
4.984375e-10,5.346349744108947e-05,0.00011175276680520672
5e-10,5.224670277163508e-05,0.00011301937170011494
5.015625e-10,5.175232563869414e-05,0.00011473732022708336
5.031250000000001e-10,5.1231794174154944e-05,0.00011586121798074058
5.046875e-10,4.970405344127457e-05,0.00011618563862348656
5.0625e-10,4.868805118650196e-05,0.00011742817955277513
5.078125e-10,4.7005007500834644e-05,0.00011797356151474303
5.09375e-10,4.537527714882409e-05,0.0001197628054682268
5.109375e-10,4.4239784219898846e-05,0.00012007221606548736
5.125e-10,4.3428669548664346e-05,0.00012005635621738464
5.140625000000001e-10,4.1892672194596526e-05,0.0001208137488691338
5.156250000000001e-10,4.012832311019337e-05,0.00012127559500925987
5.171875e-10,3.802380443298027e-05,0.00012123846041714439
5.1875e-10,3.7437165450118294e-05,0.00012133050698196131
5.203125e-10,3.530428185974919e-05,0.00012145214101811193
5.21875e-10,3.354048768391023e-05,0.00012185767924845433
5.234375e-10,3.14199102638145e-05,0.00012284004408611736
5.25e-10,2.9877346904420458e-05,0.00012322569198094542
5.265625000000001e-10,2.8394289107838336e-05,0.0001231852894020219
5.28125e-10,2.6845375609024e-05,0.00012303801561642757
5.296875e-10,2.530019439539584e-05,0.00012291872620827192
5.3125e-10,2.2559860999584534e-05,0.00012243439145864123
5.328125e-10,2.2240224539952828e-05,0.00012195386130564125
5.34375e-10,2.191532584473974e-05,0.00012201001799887848
5.359375e-10,2.1431836539735603e-05,0.00012177398314554039
5.375000000000001e-10,2.1773875114389567e-05,0.00012030396512449763
5.390625000000001e-10,2.1201870093276355e-05,0.00011912064706081352
5.40625e-10,2.0481476553405366e-05,0.00011659433106418769
5.421875e-10,2.073704431411572e-05,0.00011591587342149106
5.4375e-10,2.0302305651212758e-05,0.00011403317006232496
5.453125e-10,2.0460756228032625e-05,0.00011264020995174676
5.46875e-10,2.0115199059199862e-05,0.00011120673753823115
5.484375e-10,1.930591958613305e-05,0.00010883851680918268
5.500000000000001e-10,1.8404962709238766e-05,0.00010734255330304348
5.515625e-10,1.8587310217459936e-05,0.00010620053506350036
5.53125e-10,1.8699421839856125e-05,0.00010435566018629204
5.546875e-10,1.8378212279233094e-05,0.00010219148853277002
5.5625e-10,1.90061242113374e-05,0.00010031665579968572
5.578125e-10,1.8903590144375945e-05,9.909265232970607e-05
5.59375e-10,1.8900607183313098e-05,9.832156320576689e-05
5.609375000000001e-10,1.8498150808619154e-05,9.700893931385802e-05
5.625e-10,1.815118848551369e-05,9.348489783195954e-05
5.640625e-10,1.744419332199353e-05,9.138556447069877e-05
5.65625e-10,1.672818308582334e-05,8.948227693083625e-05
5.671875e-10,1.6115031562910486e-05,8.790959854253817e-05
5.6875e-10,1.6236724510201245e-05,8.638446955413702e-05
5.703125e-10,1.6488974301382583e-05,8.364266020500743e-05
5.718750000000001e-10,1.617038817434914e-05,8.24279713062644e-05
5.734375000000001e-10,1.6299098389355695e-05,8.129870754191273e-05
5.75e-10,1.6008104038325525e-05,8.064325453942039e-05
5.765625e-10,1.6166556162897492e-05,7.802816385281531e-05
5.78125e-10,1.536965031813466e-05,7.776598181924775e-05
5.796875e-10,1.5228057816701382e-05,7.626537464637118e-05
5.8125e-10,1.5636157162692214e-05,7.614220828134399e-05
5.828125e-10,1.540019103624849e-05,7.428110646053132e-05
5.843750000000001e-10,1.4732261627001092e-05,7.351508288476729e-05
5.859375e-10,1.4082350564619307e-05,7.281157446027391e-05
5.875e-10,1.3642261304420675e-05,7.31538945552968e-05
5.890625e-10,1.2675182504570904e-05,7.228412499404719e-05
5.90625e-10,1.2212997186984222e-05,7.068792735979392e-05
5.921875e-10,1.2098930550913547e-05,7.007463872472898e-05
5.9375e-10,1.1342660948041751e-05,6.934797650488371e-05
5.953125000000001e-10,1.1279483240326288e-05,6.913033061689959e-05
5.968750000000001e-10,1.161409573632292e-05,6.925275510625371e-05
5.984375e-10,1.162564587239473e-05,6.880366244572832e-05
6e-10,1.218349653402272e-05,6.824489884438532e-05
6.015625e-10,1.1608910455362098e-05,6.73310420545676e-05
6.03125e-10,1.1843230552938835e-05,6.707587264784268e-05
6.046875e-10,1.1832362481732418e-05,6.796131377560414e-05
6.062500000000001e-10,1.2342334140095045e-05,6.797047310094063e-05
6.078125000000001e-10,1.2904625769712992e-05,6.834964041665912e-05
6.09375e-10,1.3789880338409209e-05,6.767638098027275e-05
6.109375e-10,1.448894719164085e-05,6.79304766205906e-05
6.125e-10,1.4278703334926718e-05,6.859909832385454e-05
6.140625e-10,1.531486470618443e-05,6.826750746730211e-05
6.15625e-10,1.5493643664972585e-05,6.893707573862393e-05
6.171875e-10,1.622707763798063e-05,6.916332302939937e-05
6.187500000000001e-10,1.5553551420655758e-05,6.951361704313697e-05
6.203125e-10,1.579326206906775e-05,6.998500173828146e-05
6.21875e-10,1.5649118351550306e-05,7.031600613744217e-05
6.234375e-10,1.626653372584068e-05,7.024425993755943e-05
